municipality,year,month,rainfall_mm,temp_mean_c,days
City of Calamba,2019,5,201.1,27.3,31
City of Calamba,2019,6,282.7,27.34,30
City of Calamba,2019,7,298.9,26.19,31
City of Calamba,2019,8,377.9,26.0,31
City of Calamba,2019,9,324.4,25.67,30
City of Calamba,2019,10,78.1,25.85,31
City of Calamba,2019,11,137.3,25.33,30
City of Calamba,2019,12,192.4,24.79,31
City of Calamba,2020,1,60.2,24.4,31
City of Calamba,2020,2,56.3,24.03,29
City of Calamba,2020,3,22.3,26.41,31
City of Calamba,2020,4,44.6,27.6,30
City of Calamba,2020,5,180.8,28.17,31
City of Calamba,2020,6,275.4,27.03,30
City of Calamba,2020,7,324.3,26.48,31
City of Calamba,2020,8,275.3,26.17,31
City of Calamba,2020,9,247.9,26.41,30
City of Calamba,2020,10,612.0,25.48,31
City of Calamba,2020,11,453.0,25.22,30
City of Calamba,2020,12,336.7,24.87,31
City of Calamba,2021,1,115.8,23.78,31
City of Calamba,2021,2,80.8,23.93,28
City of Calamba,2021,3,81.1,25.37,31
City of Calamba,2021,4,20.5,26.72,30
City of Calamba,2021,5,111.1,27.97,31
City of Calamba,2021,6,222.3,27.1,30
City of Calamba,2021,7,274.1,26.38,31
City of Calamba,2021,8,186.3,26.3,31
City of Calamba,2021,9,404.8,25.85,30
City of Calamba,2021,10,218.2,25.59,31
City of Calamba,2021,11,64.4,25.87,30
City of Calamba,2021,12,90.1,24.44,31
City of Calamba,2022,1,38.7,24.45,31
City of Calamba,2022,2,65.7,25.11,28
City of Calamba,2022,3,81.1,26.63,31
City of Calamba,2022,4,128.0,26.4,30
City of Calamba,2022,5,220.6,27.28,31
City of Calamba,2022,6,246.5,26.59,30
City of Calamba,2022,7,280.1,26.11,31
City of Calamba,2022,8,336.8,25.65,31
City of Calamba,2022,9,300.4,25.84,30
City of Calamba,2022,10,435.2,25.73,31
City of Calamba,2022,11,110.6,25.46,30
City of Calamba,2022,12,111.7,24.4,31
City of Calamba,2023,1,101.0,23.8,31
City of Calamba,2023,2,38.0,24.58,28
City of Calamba,2023,3,12.0,25.51,31
City of Calamba,2023,4,181.7,26.76,30
City of Calamba,2023,5,137.2,27.43,31
City of Calamba,2023,6,282.1,26.66,30
City of Calamba,2023,7,303.1,26.63,31
City of Calamba,2023,8,82.1,27.03,31
City of Calamba,2023,9,254.4,26.36,30
City of Calamba,2023,10,128.0,26.07,31
City of Calamba,2023,11,85.3,25.88,30
City of Calamba,2023,12,62.6,25.56,31
City of Calamba,2024,1,15.3,24.83,31
